click_id,impression_id,campaign_id,customer_id,channel_id,click_date,device_type
1,4,7,3843,5,2026-06-01,Mobile
2,13,6,103,5,2025-02-24,Mobile
3,14,34,5321,3,2025-06-30,Desktop
4,19,13,3215,4,2024-09-04,Mobile
5,31,36,5612,5,2025-03-24,Mobile
6,43,3,2731,4,2025-12-12,Mobile
7,76,29,4259,1,2025-04-15,Desktop
8,78,13,1722,4,2024-09-16,Desktop
9,79,42,1107,2,2024-12-19,Mobile
10,94,27,1469,2,2024-10-25,Tablet
11,96,21,5434,3,2026-01-16,Desktop
12,134,30,2165,6,2024-11-26,Desktop
13,136,44,1421,1,2025-01-04,Mobile
14,140,34,2603,3,2025-06-14,Mobile
15,158,19,3669,4,2025-05-09,Desktop
16,162,8,3305,2,2025-08-11,Tablet
17,177,57,5767,2,2024-11-21,Tablet
18,183,22,1590,5,2024-10-24,Tablet
19,191,54,3197,1,2025-09-24,Desktop
20,246,40,3860,5,2026-03-06,Mobile
21,268,35,2628,6,2025-05-28,Desktop
22,314,57,3461,2,2024-10-30,Tablet
23,331,58,5363,1,2025-05-29,Desktop
24,334,47,5072,3,2024-10-10,Mobile
25,363,55,2583,3,2025-07-30,Desktop
26,370,40,3502,5,2026-03-02,Desktop
27,381,23,5090,1,2026-01-19,Desktop
28,384,18,330,4,2025-04-10,Tablet
29,391,50,2727,1,2025-04-25,Mobile
30,463,48,80,2,2026-02-09,Mobile
31,475,30,1769,6,2024-11-19,Tablet
32,479,55,482,3,2025-07-24,Tablet
33,492,9,382,2,2024-08-31,Desktop
34,496,23,2216,1,2026-01-03,Mobile
35,519,12,3430,1,2024-07-27,Mobile
36,522,51,3669,6,2025-09-08,Tablet
37,524,29,580,1,2025-04-08,Mobile
38,538,32,4453,3,2024-09-23,Tablet
39,562,14,862,2,2024-11-20,Tablet
40,571,50,4742,1,2025-03-30,Desktop
41,588,46,513,4,2025-01-02,Mobile
42,591,21,3310,3,2026-01-08,Tablet
43,630,53,1556,3,2026-05-10,Desktop
44,638,24,2197,6,2025-10-20,Mobile
45,639,27,2619,2,2024-10-25,Mobile
46,648,30,4880,6,2024-11-24,Desktop
47,657,43,5376,2,2026-01-10,Mobile
48,674,29,2023,1,2025-05-19,Desktop
49,678,2,3811,1,2024-10-29,Desktop
50,683,17,3526,2,2024-12-24,Mobile
51,686,8,338,2,2025-07-24,Desktop
52,722,51,1313,6,2025-10-03,Mobile
