conversion_id,click_id,campaign_id,customer_id,product_id,conversion_date,revenue
1,9,42,1107,3,2024-12-20,95.81
2,11,21,5434,4,2026-01-16,195.56
3,24,47,5072,4,2024-10-11,183.07
4,55,2,3238,10,2024-11-12,92.03
5,57,56,4308,1,2024-12-16,69.41
6,60,36,1114,10,2025-03-18,78.39
7,63,56,3737,1,2024-12-11,191.69
8,68,48,3094,10,2026-02-15,137.31
9,69,6,3969,2,2025-03-05,70.3
10,70,23,5973,10,2026-01-20,194.61
11,75,20,3749,6,2025-05-16,50.27
12,82,15,676,7,2026-05-21,74.85
13,90,36,5999,10,2025-04-08,192.22
14,112,19,310,1,2025-04-06,88.12
15,118,50,2525,5,2025-05-05,205.07
16,126,10,448,3,2026-01-12,139.48
17,132,48,429,10,2026-02-14,142.97
18,142,1,4170,8,2025-04-27,394.32
19,159,51,1842,3,2025-10-06,71.21
20,168,26,537,4,2025-10-30,178.95
21,169,17,526,1,2024-12-24,86.66
22,183,6,2990,2,2025-03-04,76.9
23,191,23,3579,10,2025-12-29,182.43
24,193,40,1684,6,2026-02-25,163.11
25,197,58,2527,6,2025-06-05,96.32
26,219,58,1691,6,2025-05-29,126.38
27,230,20,3072,6,2025-05-04,142.08
28,241,49,125,4,2025-09-18,125.29
29,243,35,3849,10,2025-05-30,120.65
30,252,55,3563,7,2025-08-21,100.74
31,281,6,4242,2,2025-01-19,193.24
32,282,54,5799,5,2025-09-15,383.86
33,290,17,605,1,2024-12-29,102.61
34,293,35,4684,10,2025-05-24,92.08
35,294,1,5860,8,2025-05-07,378.32
36,311,37,3011,10,2025-01-18,62.22
37,319,60,2624,5,2025-04-21,531.82
38,324,15,4630,7,2026-05-31,89.7
39,333,37,5659,10,2025-01-10,189.07
40,339,32,3891,9,2024-10-02,430.9
41,341,48,5742,10,2026-02-11,89.01
42,353,35,4324,10,2025-05-22,121.54
43,355,46,2945,8,2025-01-07,806.99
44,363,26,2860,4,2025-11-06,113.49
45,372,15,4184,7,2026-05-09,87.63
46,373,26,5985,4,2025-10-30,84.7
47,375,58,1784,6,2025-05-06,129.67
48,386,45,4510,9,2026-05-17,534.71
49,392,42,4230,3,2025-01-27,94.94
50,398,41,946,9,2026-02-15,542.06
51,403,26,4336,4,2025-11-05,116.39
52,433,48,1432,10,2026-01-29,142.9
53,462,29,968,7,2025-05-24,29.41
54,465,37,4190,10,2025-01-29,187.95
55,484,60,1479,5,2025-04-13,559.67
56,487,41,4352,9,2026-01-28,479.77
57,493,4,925,3,2024-12-11,75.83
58,495,7,2922,7,2026-05-19,51.28
59,521,36,2927,10,2025-04-14,181.9
60,535,37,4665,10,2025-01-07,165.23
61,554,60,4234,5,2025-04-29,655.95
62,573,44,1423,9,2025-01-14,287.12
63,588,10,2720,3,2025-11-29,54.53
64,591,21,1147,4,2026-01-17,125.7
65,622,55,3109,7,2025-08-19,94.71
66,627,14,3580,6,2024-11-19,183.14
67,686,29,574,7,2025-04-17,36.92
68,691,22,5375,7,2024-10-19,40.48
69,693,39,2925,7,2024-12-22,25.23
70,714,12,5182,5,2024-07-23,872.18
71,717,58,5726,6,2025-05-09,82.85
72,731,12,5482,5,2024-07-26,444.48
73,751,20,4545,6,2025-05-24,181.57
74,752,35,1325,10,2025-06-09,78.6
75,754,49,2216,4,2025-09-03,84.81
76,759,49,3379,4,2025-10-25,50.83
77,761,50,2381,5,2025-03-17,832.67
78,782,54,877,5,2025-09-18,869.94
79,791,28,177,8,2025-05-04,885.35
80,805,59,5578,7,2026-04-25,69.97
81,808,60,5752,5,2025-04-30,814.38
82,838,24,3161,9,2025-10-24,186.13
83,842,38,2813,5,2025-11-18,693.81
84,852,16,927,2,2025-01-22,164.2
85,861,31,4984,6,2025-01-28,191.5
86,866,34,5237,8,2025-06-12,1204.65
87,873,34,791,8,2025-06-30,959.99
88,894,7,4032,7,2026-05-29,63.6
89,903,10,1261,3,2026-01-06,112.98
90,906,3,3889,4,2025-12-12,140.98
91,913,17,3161,1,2024-12-09,145.59
92,918,26,5026,4,2025-10-28,141.63
93,941,35,5684,10,2025-06-04,83.25
94,963,59,5805,7,2026-04-25,34.91
95,986,33,96,5,2026-03-07,515.79
96,988,43,2895,5,2026-01-26,610.99
97,990,44,651,9,2024-12-28,174.64
