impression_id,campaign_id,customer_id,channel_id,impression_date,device_type
1,60,3594,5,2025-04-27,Mobile
2,25,740,3,2025-01-01,Mobile
3,2,4799,1,2024-11-21,Mobile
4,7,3843,5,2026-05-31,Mobile
5,37,5282,5,2024-12-31,Mobile
6,29,4726,1,2025-05-18,Tablet
7,26,658,3,2025-10-29,Tablet
8,5,2295,1,2024-10-31,Desktop
9,24,4665,6,2025-10-06,Mobile
10,12,2531,1,2024-07-22,Desktop
11,25,5845,3,2024-12-10,Mobile
12,29,4422,1,2025-04-10,Mobile
13,6,103,5,2025-02-22,Mobile
14,34,5321,3,2025-06-29,Desktop
15,17,588,2,2024-11-25,Mobile
16,23,832,1,2025-12-30,Desktop
17,59,4414,5,2026-05-05,Mobile
18,42,5219,2,2025-01-02,Tablet
19,13,3215,4,2024-09-04,Mobile
20,48,1742,2,2026-02-01,Tablet
21,50,2127,1,2025-04-11,Mobile
22,5,2072,1,2024-11-15,Tablet
23,8,1973,2,2025-07-27,Mobile
24,27,1471,2,2024-10-27,Desktop
25,18,3641,4,2025-05-04,Mobile
26,6,5446,5,2025-03-07,Tablet
27,28,1849,6,2025-04-29,Mobile
28,4,1116,1,2025-01-25,Tablet
29,48,5048,2,2026-02-06,Tablet
30,38,4459,2,2025-11-14,Tablet
31,36,5612,5,2025-03-24,Mobile
32,4,987,1,2025-01-16,Desktop
33,34,858,3,2025-06-17,Tablet
34,1,3251,6,2025-04-08,Desktop
35,29,3673,1,2025-04-07,Desktop
36,36,2900,5,2025-04-12,Desktop
37,36,3587,5,2025-04-22,Desktop
38,22,1082,5,2024-10-16,Mobile
39,6,2897,5,2025-01-14,Tablet
40,34,3943,3,2025-06-24,Mobile
41,1,2622,6,2025-04-16,Desktop
42,10,4080,1,2026-01-07,Mobile
43,3,2731,4,2025-12-11,Mobile
44,33,2020,3,2026-02-15,Mobile
45,21,1829,3,2026-01-16,Mobile
46,10,2486,1,2026-01-12,Desktop
47,26,147,3,2025-11-03,Tablet
48,23,4005,1,2026-01-12,Desktop
49,47,5085,3,2024-10-01,Mobile
50,16,2148,6,2025-02-16,Tablet
51,41,267,3,2026-02-20,Tablet
52,2,5923,1,2024-10-28,Desktop
53,17,1601,2,2024-11-25,Desktop
54,21,750,3,2026-01-22,Tablet
55,31,2229,4,2025-01-26,Tablet
56,50,4441,1,2025-03-20,Mobile
57,50,1772,1,2025-03-16,Mobile
58,39,3440,6,2024-11-30,Desktop
59,33,2516,3,2026-02-07,Mobile
60,26,691,3,2025-11-06,Mobile
61,23,1993,1,2026-01-07,Desktop
62,12,4358,1,2024-08-01,Mobile
63,11,3661,3,2024-08-26,Desktop
64,49,707,5,2025-10-25,Desktop
65,25,978,3,2024-11-14,Desktop
66,6,3837,5,2025-02-14,Mobile
67,4,4900,1,2024-12-30,Mobile
68,51,2115,6,2025-09-08,Mobile
69,48,3571,2,2026-02-13,Mobile
70,40,1025,5,2026-02-22,Tablet
71,31,1877,4,2025-01-18,Mobile
72,57,129,2,2024-10-30,Mobile
73,43,4628,2,2026-01-15,Desktop
74,40,2416,5,2026-02-27,Tablet
75,19,4917,4,2025-05-14,Desktop
76,29,4259,1,2025-04-14,Desktop
77,38,4989,2,2025-11-15,Tablet
78,13,1722,4,2024-09-14,Desktop
79,42,1107,2,2024-12-18,Mobile
80,49,5841,5,2025-09-09,Mobile
81,16,4308,6,2025-02-08,Mobile
82,14,5022,2,2024-12-13,Tablet
83,49,80,5,2025-10-01,Desktop
84,39,2148,6,2024-12-03,Desktop
85,23,4468,1,2026-01-15,Mobile
86,51,455,6,2025-09-05,Tablet
87,34,3395,3,2025-06-20,Mobile
88,9,2605,2,2024-08-29,Desktop
89,44,114,1,2024-12-18,Tablet
90,21,1432,3,2026-01-08,Mobile
91,48,1716,2,2026-02-05,Desktop
